----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"An Act to Take Certain Land in the State of Washington into Trust for the Benefit of the Puyallup Tribe of the Puyallup Reservation and for other Purposes.",1263160,https://catalog.gpo.gov/F/?func=direct&doc_number=1263160&local_base=GPO01PUB,"United States",2024,AE 2.110:118-48
"The American Climate Corps /",1262612,https://catalog.gpo.gov/F/?func=direct&doc_number=1262612&local_base=GPO01PUB,"Edgerton, Adam K.",2024,LC 14.25/2:IN 12334/
"The Blackfeet Tribe generally complied with Bureau of Indian Affairs agreements /",1263044,https://catalog.gpo.gov/F/?func=direct&doc_number=1263044&local_base=GPO01PUB,"United States. Department of the Interior. Office of Inspector General",2018,I 1.121:2017-FIN-065
"California Groundwater Ambient Monitoring and Assessment (GAMA) Program Priority Basin Project : domestic-supply assessment /",1261563,https://catalog.gpo.gov/F/?func=direct&doc_number=1261563&local_base=GPO01PUB,"Shelton, Jennifer L.",2024,I 19.127:2024-3002
"Community Reclamation Partnerships Act : report (to accompany H.R. 6233) (including cost estimate of the Congressional Budget Office).",1257672,https://catalog.gpo.gov/F/?func=direct&doc_number=1257672&local_base=GPO01PUB,"United States. Congress. House. Committee on Natural Resources",2024,Y 1.1/8:118-438
"Coral reef ecosystem water temperature monitoring : protocol narrative /",1169577,https://catalog.gpo.gov/F/?func=direct&doc_number=1169577&local_base=GPO01PUB,"Davis, Andy D.",2021,I 29.89:2021/2262
"Depth to water and water quality in groundwater wells in the Ogallala Aquifer within the North Plains Groundwater Conservation District, Texas Panhandle, 2019-20, and comparison to 2012-13 conditions /",1177872,https://catalog.gpo.gov/F/?func=direct&doc_number=1177872&local_base=GPO01PUB,"Mobley, Craig A.",2022,I 19.42/4-4:2022-5026
"Drinking water infrastructure and tribal communities : hearing before the Subcommittee on Fisheries, Water, and Wildlife of the Committee on Environment and Public Works, United States Senate, One Hundred Eighteenth Congress, first session, September 20, 2023.",1262261,https://catalog.gpo.gov/F/?func=direct&doc_number=1262261&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Environment and Public Works. Subcommittee on Fisheries, Water, and Wildlife",2024,Y 4.P 96/10:S.HRG.118-23
"The EPA's pollution prevention grant results aligned with program goals, but a supervisory verification process is needed /",1261526,https://catalog.gpo.gov/F/?func=direct&doc_number=1261526&local_base=GPO01PUB,"United States. Environmental Protection Agency. Office of the Inspector General",2023,EP 12.15:24-P-0004
"Elk monitoring in Mount Rainier and Olympic National Parks : 2008-2017 synthesis report /",1174506,https://catalog.gpo.gov/F/?func=direct&doc_number=1174506&local_base=GPO01PUB,"Jenkins, Kurt Jeffrey",2021,I 29.89:2021/2284
"Environmental effects of energy generation on Lake Michigan : hearing before the Subcommittee on Energy, Natural Resources, and the Environment of the Committee on Commerce, United States Senate, Ninety-first Congress, second session on the environmental effects of energy generation on Lake Michigan, March 30, 1970.",1257872,https://catalog.gpo.gov/F/?func=direct&doc_number=1257872&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Commerce. Subcommittee on Energy, Natural Resources, and the Environment",1970,Y 4.C 73/2:91-61
"Environmental effects of the Harry S. Truman Dam : joint hearing before the Subcommittee on Water Resources of the Committee on Environment and Public Works and the Subcommittee on Federal Spending Practices and Open Government of the Committee on Governmental Affairs, United States Senate, Ninety-sixth Congress, second session, July 29, 1980.",1257626,https://catalog.gpo.gov/F/?func=direct&doc_number=1257626&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Environment and Public Works. Subcommittee on Water Resources",1980,Y 4.P 96/10:96-H 58
"Evaluating water-quality conditions in the mainstem and tidal reaches of the Merrimack River in Massachusetts, June to September 2020 /",1262483,https://catalog.gpo.gov/F/?func=direct&doc_number=1262483&local_base=GPO01PUB,"Laabs, Kaitlin",2023,I 19.121:1166
"Examining the effects of extreme heat and weather on transportation : hearing before the Committee on Environment and Public Works, United States Senate, One Hundred Eighteenth Congress, first session, September 13, 2023.",1262245,https://catalog.gpo.gov/F/?func=direct&doc_number=1262245&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Environment and Public Works",2024,Y 4.P 96/10:S.HRG.118-253
"Examining the implications of Sackett v. U.S. Environmental Protection Agency for Clean Water Act protections of wetlands and streams : hearing before the Committee on Environment and Public Works, United States Senate, One Hundred Eighteenth Congress, first session, October 18, 2023.",1263786,https://catalog.gpo.gov/F/?func=direct&doc_number=1263786&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Environment and Public Works",2024,Y 4.P 96/10:S.HRG.118-266
"Fact sheet: Biden-Harris administration announces key actions to strengthen America's electric grid, boost clean energy deployment and manufacturing jobs, and cut dangerous pollution from the power sector /",1262311,https://catalog.gpo.gov/F/?func=direct&doc_number=1262311&local_base=GPO01PUB,"No data",2024,PREX 1.24:EL 2
"Fact sheet: President Biden marks Earth Day 2024 with historic climate action /",1261502,https://catalog.gpo.gov/F/?func=direct&doc_number=1261502&local_base=GPO01PUB,"No data",2024,PREX 1.24:EA 7
"Financing options for nontraditional eligibilities in the Clean Water State Revolving Fund programs /",1263816,https://catalog.gpo.gov/F/?func=direct&doc_number=1263816&local_base=GPO01PUB,"Clean Water State Revolving Fund (U.S.)",2017,EP 2.2:C 58/10
